Frequency,KostuemID,RollenID,FilmID,DominanteFarbe,DominanterZustand,Genre,DominanteCharaktereigenschaft,DominanterAlterseindruck,Geschlecht
1,1,1,51,Dunkelblau,alt,"Highschool Komödie",passiv,Jugendlicher,männlich
1,2,7,45,Dunkelbraun,alt,"Highschool Komödie",passiv,Jugendlicher,männlich
1,1,2,64,Dunkelblau,ausgewaschen,"Highschool Komödie",passiv,Jugendlicher,weiblich
1,1,20,46,Dunkelgrün,abgetragen,"Highschool Komödie",schwach,Jugendlicher,männlich
1,14,3,62,Dunkelbraun,abgetragen,"Highschool Komödie",passiv,Jugendlicher,männlich
1,5,7,45,Dunkelbraun,alt,"Highschool Komödie",passiv,Jugendlicher,männlich
1,1,27,64,Dunkelblau,verwaschen,"Highschool Komödie",böse,Jugendlicher,männlich
1,3,19,48,Dunkelbraun,ausgewaschen,"Highschool Komödie",passiv,Jugendlicher,männlich
1,1,30,60,Dunkelgrün,abgetragen,"Highschool Komödie",passiv,Jugendlicher,weiblich
1,1,7,49,Dunkelgrün,abgetragen,"Highschool Komödie",passiv,Jugendlicher,männlich
1,1,19,48,Dunkelblau,nass,"Highschool Komödie",passiv,Jugendlicher,männlich
1,3,3,93,Dunkelbraun,abgetragen,"Highschool Komödie",passiv,Jugendlicher,männlich
1,8,10,56,Dunkelblau,abgetragen,"Highschool Komödie",passiv,Jugendlicher,männlich
1,3,7,45,Dunkelbraun,alt,"Highschool Komödie",passiv,Jugendlicher,männlich
1,4,4,64,Dunkelblau,verschwitzt,"Highschool Komödie",böse,Jugendlicher,männlich
1,8,17,63,Dunkelbraun,abgetragen,"Highschool Komödie",böse,Jugendlicher,männlich
1,8,8,58,Dunkelblau,fleckig,"Highschool Komödie",böse,Jugendlicher,männlich
1,1,7,48,Dunkelblau,ausgewaschen,"Highschool Komödie",passiv,20ern,männlich
1,2,3,51,Dunkelblau,abgetragen,"Highschool Komödie",schwach,Jugendlicher,männlich
1,9,1,62,Dunkelblau,verschwitzt,"Highschool Komödie",schwach,Jugendlicher,männlich
