Frequency,KostuemID,RollenID,FilmID,DominanteFarbe,DominanterZustand,Genre,DominanteCharaktereigenschaft,DominanterAlterseindruck,Geschlecht
1,6,3,63,Hellgrau,sauber,"Highschool Komödie",gut,30ern,männlich
1,1,4,46,Hellgrau,sauber,"Highschool Komödie",aktiv,40ern,männlich
1,5,11,49,Hellgrau,sauber,"Highschool Komödie",gut,40ern,weiblich
1,1,21,44,Hellgrau,sauber,"Highschool Komödie",aktiv,30ern,männlich
1,3,9,49,Hellblau,gebügelt,"Highschool Komödie",aktiv,50ern,männlich
1,8,2,55,Hellblau,ordentlich,"Highschool Komödie",aktiv,30ern,weiblich
1,1,4,60,Hellbraun,sauber,"Highschool Komödie",gut,50ern,männlich
1,3,6,63,Hellblau,sauber,"Highschool Komödie",aktiv,50ern,männlich
1,9,3,63,Hellbraun,sauber,"Highschool Komödie",gut,30ern,männlich
1,6,6,60,Hellblau,sauber,"Highschool Komödie",gut,40ern,weiblich
1,3,6,55,Hellblau,sauber,"Highschool Komödie",gut,40ern,männlich
1,8,3,54,Hellblau,ordentlich,"Highschool Komödie",gut,30ern,männlich
1,3,12,58,Hellblau,gebügelt,"Highschool Komödie",gut,50ern,männlich
1,31,1,63,Hellblau,sauber,"Highschool Komödie",gut,30ern,weiblich
1,2,16,64,Hellblau,sauber,"Highschool Komödie",aktiv,40ern,männlich
1,5,5,48,Hellblau,gebügelt,"Highschool Komödie",aktiv,40ern,männlich
1,3,18,47,Hellblau,sauber,"Highschool Komödie",gut,50ern,weiblich
1,3,6,64,Hellblau,sauber,"Highschool Komödie",gut,40ern,männlich
1,2,18,47,Hellblau,sauber,"Highschool Komödie",gut,50ern,weiblich
1,5,6,60,Hellblau,sauber,"Highschool Komödie",gut,40ern,weiblich
